slotId,deposit,burnRate,Adj_deposit,Adj_burnRate,owner,transactionHash,timestamp,gasUsed,gasPrice,ethSpent
10,0,1.20E+11,0,0.01,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,b'f\x86\x8b\x07\t7\xa5\xa66_\xc8\xd5lsx^!o\x15\x80\xd8\x95\x99A\xc3\xfd\xfe\x88 Sx\xcf',1621300120,125430,50600000000,0.006346758
14,0,1.01E+12,0,0.1,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,"b""*POW!T\x05\xbc7=\xb9\xf1\x94\xb4\xc1\x95\x19\xe6u\x0e}2,M\xcb'\x9e\x03\x85\xb7K\x00""",1621308684,125430,56000000000,0.00702408
28,1.00E+18,1.00E+11,1,0.01,0x4EA4A38e351Ae6e4d29F19a173986A178144132f,b'e$p.\x8bL\xa1\xae^\xb0;\xe6\x0e\xf6dg\xa9I\xc4\xaa\x03\xdd\x8e\x1c\xec\x9d\xe3\xd9p\xec\xe8\xba',1621327040,193406,57000000000,0.011024142
28,1.50E+19,2.00E+11,15,0.02,0x6e5d43A620fC9456A1F23BE69933a516E177dDec,b'\x8dG\xc1\xf38\xe5\xc3\x08PI}\x01\xf6]\xf4\xf1\x96\x99\x85\x993\xf9\xc3<u\xd2\xb2\x10 f\x84?',1621330698,210014,58000000000,0.012180812
10,1.50E+19,2.00E+11,15,0.02,0x6e5d43A620fC9456A1F23BE69933a516E177dDec,b'\xbb\xfaD\x0cN\xde\xac\x8c]\x02R\x9b\xd87{j\x87\x08\x87d-\xd1S\xf9\xf6/\xaaa\xac\x1bl\x93',1621332849,193520,50000000000,0.009676
18,2.27E+20,1.00E+11,227.03,0.01,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,"b'\x0f\xbf""\x95<\xf0\xd9Z\xfc\x1a\xd1\xdf\xba\xea\xfe\xd2cm\xd5M\xca\xc9\xcb\xe3$U\xc0:\xe0D\xa9\xc0'",1621332952,212150,46000000000,0.0097589
16,8.00E+18,2.00E+11,8,0.02,0x6e5d43A620fC9456A1F23BE69933a516E177dDec,b'e\xd6\x83n\x02\x19\xdc\xa5\xe9\xa9+\xce\x9d#>\xad\xde\xd2\x80n\xe01Ao\x89\x88\x8aM\x17\x80\xfc0',1621333236,159320,47000000000,0.00748804
19,2.00E+20,100000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,"b'w-\x8f\x866I\x17\xf4\xb0\\\xd2}\x03\x0c\xf8\x14\x15,\x05\xbc\xcde\xb3q\n\xd4\x81\xec\x85\xdc\x04\xa0'",1621335265,174303,43000000000,0.007495029
16,1.00E+19,2.50E+11,10,0.03,0xAe22A659B0b58F4C61a6Aaf7fC0fe7b1f7Fa59fC,b'\xe1\xb7{[\xe9\xf0\xbe\xb2L8\x89\x94\xb9\xd5+\x1e\xb8\x01\x0f\xb3\xbckn\x92\xb25\x1b\x95\x8b\xaeX\t',1621340916,210014,57000000000,0.011970798
50,1.00E+20,10,100,0,0xbD75540343904343A49E084523596Ed8d9978d7b,"b'\x00A\x8f\xb5T,\x13\xc3Z\xac\xa3\xc2\x98<)\x81\x15G\xe5`6\x8e^\x17]\\\xd6\xf6\xc8p\x90\xc4'",1621341026,185943,65000000000,0.012086295
